Sic Code,Sic Code2 (SIC first)
"Accounting Services - ACCOUNTING, AUDITING, & BOOKKEEPING - 8721",0100 - Food Products - AGRICULTURE
Aerospace & Defense - AIRCRAFT - 3721,0111 - Food Products - AGRICULTURE
Aerospace & Defense - AIRCRAFT ENGINES AND ENGINE PARTS - 3724,0112 - Food Products - AGRICULTURE
"Aerospace & Defense - AMMUNITION, EXCEPT FOR SMALL ARMS, N.E.C - 3483",0115 - Food Products - AGRICULTURE
"Aerospace & Defense - AURCRAFT PARTS AND EQUIPMENT, N.E.C. - 3728",0116 - Food Products - AGRICULTURE
Aerospace & Defense - EXPLOSIVES - 2892,0119 - Food Products - AGRICULTURE
Aerospace & Defense - GUIDED MISSILES AND SPACE VEHICLES - 3761,0131 - Food Products - AGRICULTURE
"Aerospace & Defense - ORDNANCE AND ACCESSORIES, N.E.C. - 3489",0132 - Tobacco - AGRICULTURE
Aerospace & Defense - SMALL ARMS - 3484,0133 - Food Products - AGRICULTURE
Aerospace & Defense - SMALL ARMS AMMUNITION - 3482,0134 - Food Products - AGRICULTURE
Aerospace & Defense - SPACE PROPULSION UNITS AND PARTS - 3764,0139 - Food Products - AGRICULTURE
"Aerospace & Defense - SPACE VEHICLE EQUIPMENT, N.E.C. - 3769",0161 - Food Products - AGRICULTURE
Aerospace & Defense - TANKS AND TANK COMPONENTS - 3795,0171 - Food Products - AGRICULTURE
"Auto Components - MOTORCYCLES, BICYCLES, AND PARTS - 3751",0172 - Food Products - AGRICULTURE
Auto Components - TIRES AND INNER TUBES - 3011,0173 - Food Products - AGRICULTURE
"Auto Components - TRANSPORTATION EQUIPMENT, N.E.C. - 3799",0174 - Food Products - AGRICULTURE
Auto Components - TRAVEL TRAILERS AND CAMPERS - 3792,0175 - Food Products - AGRICULTURE
Automobiles - AUTO EXHAUST SYSTEM REPAIR SHOPS - 7533,0179 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILE PARKING - 7521,0181 - Not Elsewhere Classified - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5000,0182 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5010,0191 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5012,0200 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5020,0211 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5030,0212 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5040,0213 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5070,0214 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5080,0219 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5090,0241 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5110,0251 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5130,0252 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5140,0253 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5150,0254 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5160,0259 - Food Products - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5180,0271 - Not Elsewhere Classified - AGRICULTURE
Automobiles - AUTOMOBILES AND OTHER MOTOR VEHICLES - 5190,0272 - Not Elsewhere Classified - AGRICULTURE
"Automobiles - AUTOMOTIVE DEALERS, N.E.C. - 5599",0273 - Not Elsewhere Classified - AGRICULTURE
Automobiles - AUTOMOTIVE GLASS REPLACEMENT SHOPS - 7536,0279 - Not Elsewhere Classified - AGRICULTURE
"Automobiles - AUTOMOTIVE REPAIR SHOPS, N.E.C. - 7539",0291 - Food Products - AGRICULTURE
"Automobiles - AUTOMOTIVE SERVICES, N.E.C. - 7549",0700 - Food Products - AGRICULTURE
Automobiles - AUTOMOTIVE TRANSMISSION REPAIR SHOPS - 7537,0711 - Not Elsewhere Classified - AGRICULTURE
Automobiles - CARWASHES - 7542,0721 - Not Elsewhere Classified - AGRICULTURE
Automobiles - GENERAL AUTOMOTIVE REPAIR SHOPS - 7538,0722 - Not Elsewhere Classified - AGRICULTURE
Automobiles - MOBILE HOME DEALERS - 5271,0723 - Not Elsewhere Classified - AGRICULTURE
Automobiles - MOBILE HOMES - 2451,0724 - Not Elsewhere Classified - AGRICULTURE
Automobiles - MOTOR HOMES - 3716,0741 - Health Care Providers & Services - AGRICULTURE
Automobiles - MOTOR VEHICLE PARTS AND ACCESSORIES - 3714,0742 - Health Care Providers & Services - AGRICULTURE
"Automobiles - MOTOR VEHICLE PARTS, USED - 5015",0751 - Health Care Providers & Services - AGRICULTURE
Automobiles - MOTOR VEHICLE SUPPLIES AND NEW PARTS - 5013,0752 - Health Care Providers & Services - AGRICULTURE
