Sector,Relativity
12,1
32,1
42,1
35,1
1,2
28,2
26,2
13,2
29,3
6,2
40,2
44,2
22,2
41,2
2,2
16,3
10,2
39,2
37,2
23,2
34,2
15,3
20,3
9,3
33,3
14,3
17,4
21,2
30,1
31,1
