Sector,Relativity
17,1.75
13,0.75
39,1.25
10,1.25
32,0.75
26,1.0
23,1.75
6,1.0
29,0.75
35,1.0
22,1.5
33,0.75
1,1.75
37,1.0
16,1.5
9,1.0
2,1.5
44,1.0
28,1.0
42,0.75
41,1.75
40,0.75
14,1.0
12,1.0
15,0.75
30,0.75
31,1.0
20,1.5
34,0.75
21,1.0
