Band,Relativity_Lo,Relativity_Hi
1,0.0800473910308524,0.288988439583104
2,0.288988439583104,0.495719939664062
3,0.495719939664062,0.844023318091358
4,0.844023318091358,1.0
5,1.0,1.1
6,1.1,1.2
7,1.2,1.3
8,1.3,1.55
9,1.55,1.8
10,1.8,1.9
11,1.9,2.0
12,2.0,2.0
13,2.0,2.0
