Band,GLM ModelRelativity,"""Mid""-point",Lower,Upper,SelectedRelativityLower,SelectedRelativityUpper
<40%,1.0,0.2,0,0.2,0.932263165924022,1.20481927710843
<40%,1.0,0.2,0.2,0.7,1.20481927710843,1.88620955506946
>=40%,1.56555393070766,0.7,0.7,1,1.88620955506946,2.29504372184608
