Indemnity,Factor,CumF,CostInBand,CumCostInBand
0,0.32,0.0,0,0
10000000,0.26,0.32,3200000,3200000
20000000,0.23,0.29,2600000,5800000
30000000,0.2,0.27,2300000,8100000
40000000,0.18,0.2525,2000000,10100000
50000000,0.16,0.238,1800000,11900000
75000000,0.14,0.212,4000000,15900000
100000000,0.12,0.194,3500000,19400000
