Mcap_Lo,Mcap_Hi,Cost_Lo,Cost_Hi
0.01,25000000,280,350
25000000.0,50000000,350,490
50000000.0,100000000,490,630
100000000.0,250000000,630,1050
250000000.0,500000000,1050,1470
500000000.0,1000000000,1470,1785
1000000000.0,2500000000,1785,2135
2500000000.0,5000000000,2135,2380
5000000000.0,10000000000,2380,2625
10000000000.0,100000000000,2625,3500
100000000000.0,500000000000,3500,5250
500000000000.0,99999000000000,5250,7000
