Mcap_Lo,MCap_Hi,index_Lo,index_Hi
1,12500000.5,0,1
12500000.5,37500000,1,2
37500000,75000000,2,3
75000000,175000000,3,4
175000000,375000000,4,5
375000000,750000000,5,6
750000000,1750000000,6,7
1750000000,3750000000,7,8
3750000000,7500000000,8,9
7500000000,17500000000,9,10
17500000000,37500000000,10,11
37500000000,99999000000000,11,12
