Sector,Relativity
12,1
32,1
42,1
35,1
1,1
28,1
26,1
13,1
29,2
6,2
40,2
44,2
22,2
41,2
2,2
16,2
10,1
39,2
37,2
23,3
34,3
15,3
20,4
9,4
33,4
14,3
17,5
21,2
30,1
31,1
