Industry,Factor
Accounting Services,1.5
Aerospace & Defense,1.0
Auto Components,1.0
Automobiles,1.0
Banks - Commercial,1.5
Banks - Thrifts & Mortgage,1.5
Beverages,1.0
Biotechnology,1.5
Building Products,1.5
Chemicals,1.25
Commercial Services & Supplies,1.0
Construction & Engineering,1.25
Construction Materials,1.25
Consumer Services,1.0
Containers & Packaging,1.0
Education - Elementary & Secondary,1.0
Education - Other,1.0
Education - Post Secondary,1.0
Electrical Equipment,1.0
Energy Equipment & Services,1.0
Food Products,1.0
Government - Other,1.0
Government - Local,1.0
Government - Federal,1.0
Health Care Equipment & Supplies,1.25
Health Care Providers & Services,1.25
Household Durables,1.0
Household Products,1.0
Hotels Restaurants & Leisure,1.0
Health Care Technology,1.25
Insurance,1.5
Industrial Conglomerates,1.0
Life Sciences Tools & Services,1.0
Leisure Equipment & Products,1.0
Legal Services,1.5
Media,1.0
Metals & Mining,1.25
Machinery,1.0
Management Consulting,1.5
Not Elsewhere Classified,1.0
NonProfit - Associations,1.0
NonProfit - Trusts,1.0
NonProfit - Religions,1.0
"Oil, Gas & Consumable Fuels",1.25
Pharmaceuticals,1.5
Personal Products,1.0
Paper & Forest Products,1.0
Professional Services,1.5
Real Estate Investment Trusts (REITs),1.5
Retail - Distributors,1.0
Real Estate Management & Development,1.25
Retail - Internet & Catalog,1.0
Retail - Specialty,1.0
Retail - Food & Staples,1.0
Retail - Multiline,1.0
Tech - Communications Equipment,1.25
Tech - Semiconductors & Equipment,1.25
Tech - Electronic Equipment,1.0
Tech - Internet Software & Services,1.25
Tech - Software,1.5
Tech - Computers & Peripherals,1.0
Tech - IT Consulting & Services,1.5
Tech - Office Electronics,1.0
Telecom Services - Wireless,1.25
"Textiles, Apparel & Luxury Goods",1.0
Telecom Services - Diversified,1.0
Trading Companies & Distributors,1.0
Tobacco,1.5
Transportation - Airlines,1.5
Transportation - Airfreight & Logistics,1.0
Transportation - Road & Rail,1.0
Transportation - Marine,1.0
Transportation - Infrastructure,1.0
Utilities - Electric,0.75
Utilities - Multi,0.75
Utilities - Ind Power Producers,0.75
Utilities - Gas,0.75
Utilities - Water,0.75
