value
None
165
Accel KKR
Actis
Advent
AEA Investors LP
Apax
APG Group
Apollo
Ares
Argand
Aurelius
Bain Capital
Beaumanoir family
Black Diamond
Blackstone
Bridgepoint
Brookfields
Browne
Bruin Investment US LP
BWE
Canyon
Carlyle
CBPE Capital
CD&R
Centrebridge
Certares
Cinven
CQS
Cricular Capital
CVC
Dalcouth Ventures
Deutsche Beteiligungs AG
Digital Bridge
EDCO
Elegant Jubilee Limited
Endless
Epiris GP Ltd
EQT Mid Market Asia III Investments S.a r.l.
Equitix
Exponent Private Equity Partners III
Fairfax Financial
FII
"Finaccess Mexico, S.A. de C.V."
First Reserve
Fort Point Capital
Fortinet/Foxconn
Fortress Investment Group
General Atlantic
Genstar
Global Infrastructure Partners
Goldman Sachs
GrowthCurve Capital
GSH Private Capital
Gurnet Point Capital
Hg Capital
HIG Capital LLC
Hillhouse Investments
HPS Investment Partners
IEH
IHC industrial holding
Indonesia Investment Authority
Infracapital
Investindustrial
ISQ
JAB Holdings
Kedaara Capital
Keensight Capital
Kestrel Partners
KKR
"Koch Industries, Inc."
Kuma Partners
L Capital KDT Ltd
Latour Capital
Liontrust Management
Lone Star
Macquarie
Madison Dearborn Partners
Marcol
Mid Europa
Morningside
Muzinich
Oaktree
Onex
Other
PAI Partners
Partners Group
Permira
Persistence Capital Partners
Platinum Equity
Potentia
QuattroR
Sandbrook capital
SC Capital
SDCL Group
Sherpa Capital
SK Capital
Stirling square
Sustainable Development Capital LLP
TDM
TDR Capital
Teleious Capital
Terra Firma
The Carlyle Group
THI Holdings Gmbh
Thoma Bravo
Threadneedle Asset Management
Towerbrook
Triton
UK Government
Vitruvian
Warburg Pincus
Waterland Private Equity Investments B.V.
