Business Plan Assumptions,Unnamed: 1
Cat Load %,0.0
Cost of RI %,0.0438747195720817
Var Exp %,0.157040382124938
Fixed Expense,827.422029821669
Investment income %,0.120946623686436
Capital Factor,1.0
Excess Load,1.52166752068755
Target RoC,0.15
CHE %,0.0244359179869183
