lower_bound,upper_bound,factor
0,100000000,1.0
100000001,250000000,0.975
250000001,500000000,0.95
500000001,1000000000,0.925
1000000001,1500000000,0.9
1500000001,2000000000,0.875
2000000001,3000000000,0.85
3000000001,4000000000,0.8
4000000001,5000000000,0.75
5000000001,1000000000000,0.7
