voyage,voyage__,voyage_,factor
LONG,WORLDWIDE,Long,1.15
MEDIUM,TRANS ATLANTIC/PACIFIC,Medium,1.0
SHORT,COASTAL/LOCAL CONTINENT,Short,0.9
