country,country_,total_load,base_rate,eq_addition,ws_addition
Armenia,ARM,1.372340426,1,0.34,0.03
Austria,AUT,1.354609929,1,0.23,0.13
Bangladesh,BGD,1.295733946,1,0.23,0.07
Belize,BLZ,1.413485912,1,0.23,0.19
Bosnia-Hertzegovina,BIH,1.290780142,1,0.23,0.06
Caribbean Islands,CAR,1.485632357,1,1,1
Chile,CHL,1.336170213,1,0.27,0.06
China,CHN,1.26620644,1,0.11,0.15
Colombia,COL,1.272340426,1,0.27,0
Djibouti,DJI,1.22339352,1,0.09,0.13
Dominica,DMA,1.492060575,1,0.06,0.44
El Salvador,SLV,1.408510638,1,0.41,0
Ethiopia,ETH,1.136170213,1,0.14,0
Georgia,GEO,1.168085106,1,0.14,0.03
Guatemala,GTM,1.204255319,1,0.2,0
Hong Kong,HKG,1.22339352,1,0.09,0.13
Hungary,HUN,1.290780142,1,0.23,0.06
Iceland,ISL,1.865248227,1,0.23,0.64
Indonesia,IDN,1.170212766,1,0.17,0
Italy,ITA,1.245390071,1,0.18,0.06
Japan,JPN,2,1,1,1
Jordan,JOR,1.290780142,1,0.23,0.06
Kazakhstan,KAZ,1.290780142,1,0.23,0.06
Korea,KOR,1.322505272,1,0.09,0.23
Lebanon,LBN,1.2,1,0.14,0.06
Mauritius,MUS,1.308451408,1,0.02,0.29
Mexico,USA.NC,1.314125743,1,0.01,0.3
Nepal,NPL,2.361702128,1,1.36,0
New Zealand,NZL,1.4,1,0.27,0.13
Nicaragua,NIC,1.204255319,1,0.2,0
Pacific Islands,PAC,1.371698608,1,1,1
Panama,PAN,1.170212766,1,0.17,0
Peru,PER,1.544680851,1,0.54,0
Philippines,PHL,1.270672993,1,0.14,0.13
Serbia,RSX,1.22339352,1,0.09,0.13
Slovakia,SVK,1.354609929,1,0.23,0.13
Slovenia,SVN,1.744680851,1,0.68,0.06
Taiwan,TWN,1.39923155,1,0.11,0.29
Tajikistan,TJK,1.440425532,1,0.41,0.03
Tunisia,TUN,1.354609929,1,0.23,0.13
Turkey,TUR,1.336170213,1,0.27,0.06
Turkmenistan,TKM,1.336170213,1,0.27,0.06
Uganda,UGA,1.226950355,1,0.23,0
United Arab Emirates,ARE,1.226950355,1,0.23,0
USA - California,USA.CA,1.79623720,1.05155630,0.6808511,0.0638298
USA - Florida,USA.FL,1.43547620,1.04572370,0.0136170,0.3761355
USA - Gulf & South,USA.NC,1.48022450,1.16609880,0.0136170,0.3005087
USA - West Coast - Excl Ca,USA.WA,1.34909060,1.08526080,0.1361702,0.1276596
