Mode,CDS Path,Template Excel rater named range,Add to excel
input,hx/meta/policy_option_id,DB.hxOptionID,True
input,cds/standard_fields/broker,DB.Broker,True
input,hx_core/expiry_date,DB.EndDate,True
input,cds/key_industry/code_name,DB.Exposure.Industry,True
input,cds/standard_fields/insured_name,DB.FirmName,True
input,cds/risk_info/broker_contact,DB.Producer,True
input,cds/standard_fields/is_renewal,DB.RenewalIndicator,True
input,cds/risk_info/cedant_name,DB.RiskInfo.CedantName,True
input,cds/risk_info/comments,DB.RiskInfo.Comments,True
input,cds/standard_fields/insured_country,DB.RiskInfo.Country,True
input,cds/rating_factors/risk_info/do_coverage_required,DB.RiskInfo.CoverDandO,True
input,cds/risk_info/direct_ri,DB.RiskInfo.DirectRI,True
input,cds/risk_info/eea_non_eea_indicator,DB.RiskInfo.EEANonEEAIndicator,True
input,cds/rating_factors/risk_info/ownership_type,DB.RiskInfo.Ownership,True
input,cds/risk_info/platform,DB.RiskInfo.Platform,True
input,cds/rating_factors/risk_info/region,DB.RiskInfo.Region,True
input,cds/rating_factors/risk_info/sub_industry,DB.RiskInfo.SubIndustry,True
output,cds/rate_change/expiring_policy_option_id,DB.RiskInformation.ExpiryID,True
input,hx_core/inception_date,DB.StartDate,True
input,cds/standard_fields/underwriter,DB.Underwriter,True
input,cds/rating_factors/exposure_details/us_listing,DB.Exposure.ADR,True
input,cds/exposure/aggregate/total_amounts/assets,DB.Exposure.Assets,True
input,cds/exposure/granular/regions/splits_entered_as/assets,DB.Exposure.Assets.EnteredAs,True
input,cds/exposure/aggregate/total_amounts/aum,DB.Exposure.AUM,True
input,cds/rating_factors/exposure_details/combined_ratio,DB.Exposure.CombinedRatio,True
input,cds/exposure/granular/commited_capital,DB.Exposure.committedcapital,True
input,cds/rating_factors/exposure_details/cr_fitch,DB.Exposure.CR.Fitch,True
input,cds/rating_factors/exposure_details/cr_moodys,DB.Exposure.CR.Moodys,True
input,cds/rating_factors/exposure_details/cr_s_and_p,DB.Exposure.CR.SP,True
input,cds/rating_factors/exposure_details/direct_business_pc,DB.Exposure.DirectBusinessPc,True
input,cds/exposure/aggregate/total_amounts/employees,DB.Exposure.Employees,True
input,cds/exposure/granular/regions/splits_entered_as/employees,DB.Exposure.Employees.EnteredAs,True
input,cds/exposure/granular/invested_capital,DB.Exposure.investedcapital,True
input,cds/exposure/granular/investor_split_region/region_1/percent,DB.Exposure.InvestorSplit.1,True
input,cds/exposure/granular/investor_split_region/region_2/percent,DB.Exposure.InvestorSplit.2,True
input,cds/exposure/granular/investor_split_region/region_3/percent,DB.Exposure.InvestorSplit.3,True
input,cds/exposure/granular/investor_split_type/institutional/percent,DB.Exposure.InvestorSplit.Institutional,True
input,cds/exposure/granular/investor_split_type/other/percent,DB.Exposure.InvestorSplit.Other,True
input,cds/exposure/granular/investor_split_region/region_1/region,DB.Exposure.InvestorSplit.Region1,True
input,cds/exposure/granular/investor_split_region/region_2/region,DB.Exposure.InvestorSplit.Region2,True
input,cds/exposure/granular/investor_split_region/region_3/region,DB.Exposure.InvestorSplit.Region3,True
input,cds/exposure/granular/investor_split_type/retail/percent,DB.Exposure.InvestorSplit.Retail,True
input,cds/rating_factors/exposure_details/ipo_date,DB.Exposure.IPODate,True
input,cds/rating_factors/exposure_details/main_listing,DB.Exposure.Listing,True
input,cds/exposure/aggregate/market_cap,DB.Exposure.MCap,True
input,cds/exposure/aggregate/market_cap_us,DB.Exposure.MCapUS,True
input,cds/rating_factors/exposure_details/no_of_locations,DB.Exposure.Offices,True
input,cds/exposure/granular/no_of_directorship,DB.Exposure.outsidedirectorships,True
input,cds/exposure/granular/premium_split/commercial/amount,DB.Exposure.PremiumSplit.Commercial,True
input,cds/exposure/granular/premium_split/healthcare/amount,DB.Exposure.PremiumSplit.Healthcare,True
input,cds/exposure/granular/premium_split/life/amount,DB.Exposure.PremiumSplit.Life,True
input,cds/exposure/granular/premium_split/other/amount,DB.Exposure.PremiumSplit.Other,True
input,cds/exposure/granular/premium_split/pc/amount,DB.Exposure.PremiumSplit.PC,True
input,cds/exposure/granular/premium_split/personal/amount,DB.Exposure.PremiumSplit.Personal,True

input,cds/exposure/granular/premium_split/commercial/percent,DB.Exposure.PremiumSplit.CommercialPercent,True
input,cds/exposure/granular/premium_split/healthcare/percent,DB.Exposure.PremiumSplit.HealthcarePercent,True
input,cds/exposure/granular/premium_split/life/percent,DB.Exposure.PremiumSplit.LifePercent,True
input,cds/exposure/granular/premium_split/other/percent,DB.Exposure.PremiumSplit.OtherPercent,True
input,cds/exposure/granular/premium_split/pc/percent,DB.Exposure.PremiumSplit.PCPercent,True
input,cds/exposure/granular/premium_split/personal/percent,DB.Exposure.PremiumSplit.PersonalPercent,True

input,cds/exposure/granular/regions/regions_list/africa/value/assets,DB.Exposure.RegionSplit1.Assets,True
input,cds/exposure/granular/regions/regions_list/africa/value/employees,DB.Exposure.RegionSplit1.Employees,True
input,cds/exposure/granular/regions/regions_list/africa/value/revenues,DB.Exposure.RegionSplit1.Revenues,True
input,cds/exposure/granular/regions/regions_list/caribbean/value/assets,DB.Exposure.RegionSplit10.Assets,True
input,cds/exposure/granular/regions/regions_list/caribbean/value/employees,DB.Exposure.RegionSplit10.Employees,True
input,cds/exposure/granular/regions/regions_list/caribbean/value/revenues,DB.Exposure.RegionSplit10.Revenues,True
input,cds/exposure/granular/regions/regions_list/row/value/assets,DB.Exposure.RegionSplit11.Assets,True
input,cds/exposure/granular/regions/regions_list/row/value/employees,DB.Exposure.RegionSplit11.Employees,True
input,cds/exposure/granular/regions/regions_list/row/value/revenues,DB.Exposure.RegionSplit11.Revenues,True
input,cds/exposure/granular/regions/regions_list/arab_states/value/assets,DB.Exposure.RegionSplit2.Assets,True
input,cds/exposure/granular/regions/regions_list/arab_states/value/employees,DB.Exposure.RegionSplit2.Employees,True
input,cds/exposure/granular/regions/regions_list/arab_states/value/revenues,DB.Exposure.RegionSplit2.Revenues,True
input,cds/exposure/granular/regions/regions_list/asia/value/assets,DB.Exposure.RegionSplit3.Assets,True
input,cds/exposure/granular/regions/regions_list/asia/value/employees,DB.Exposure.RegionSplit3.Employees,True
input,cds/exposure/granular/regions/regions_list/asia/value/revenues,DB.Exposure.RegionSplit3.Revenues,True
input,cds/exposure/granular/regions/regions_list/oceania/value/assets,DB.Exposure.RegionSplit4.Assets,True
input,cds/exposure/granular/regions/regions_list/oceania/value/employees,DB.Exposure.RegionSplit4.Employees,True
input,cds/exposure/granular/regions/regions_list/oceania/value/revenues,DB.Exposure.RegionSplit4.Revenues,True
input,cds/exposure/granular/regions/regions_list/europe/value/assets,DB.Exposure.RegionSplit5.Assets,True
input,cds/exposure/granular/regions/regions_list/europe/value/employees,DB.Exposure.RegionSplit5.Employees,True
input,cds/exposure/granular/regions/regions_list/europe/value/revenues,DB.Exposure.RegionSplit5.Revenues,True
input,cds/exposure/granular/regions/regions_list/former_soviet_republics/value/assets,DB.Exposure.RegionSplit6.Assets,True
input,cds/exposure/granular/regions/regions_list/former_soviet_republics/value/employees,DB.Exposure.RegionSplit6.Employees,True
