Area of Practice,Frequency,Severity
Architecture,0.25,0.0
Architecture - Interior Design,-0.25,-0.5
Civil,0.0,0.0
Construction Management,0.0,0.0
Environmental,-0.25,-0.25
Geotech,0.0,1.0
MEP,0.0,0.0
Other - Low Risk,-0.5,-0.5
Process Engineering,0.0,0.5
Structural,0.25,1.0
Surveyor,0.0,0.0
