Project Type,Frequency,Severity
Airport Runways,-0.25,0.5
Arenas/Stadiums/Convention Centers,-0.25,0.5
Bridges/Tunnels,-0.25,0.5
Chemical/Pharmaceutical plants,-0.25,0.5
"Dams, Harbours & Jetties/Wetland Mitigation",-0.25,0.5
Hospitals,0.25,0.25
Mining,-0.25,0.5
Modular Buildings (involving repetitive design),-0.25,0.25
Oil Refineries/Pipelines/Power Plants,-0.25,0.5
Parking Garages,-0.25,0.5
Processing and treatment (Water/Sludge/Waste etc.),-0.25,0.5
Residential Buildings (high rise - over 3 storeys),-0.25,0.25
Warehouses/Data Centres,-0.25,0.25
Residential Buildings (low rise),0.0,-0.5
Institutional (lower risk),-0.25,-0.25
Churches,-0.25,-0.25
Colleges/Universities/Schools,-0.25,-0.25
Convalescent/Retirement Facilities,-0.25,-0.25
Correctional Facilities/Jails,-0.25,-0.25
Courthouses,-0.25,-0.25
Institutional: Other,-0.25,-0.25
Military,-0.25,-0.25
Recreational (lower risk),0.0,0.25
Amusement Park,0.0,0.25
Casinos,0.0,0.25
Parks / Playgrounds / Pools,0.0,0.25
Recreational: Other,0.0,0.25
Sports Facilities (EXCLUDING STADIUMS),0.0,0.25
General Building (lower risk),0.0,0.0
Airport Terminals,0.0,0.0
General Building (Other),0.0,0.0
Hotels / Motels,0.0,0.0
Libraries / Museums,0.0,0.0
Offices (Low/High Rise/Other),0.0,0.0
Retail / Malls / Shopping Centers / restaurants,0.0,0.0
Infrastructure (lower risk),0.0,0.0
Infrastructure: Other,0.0,0.0
Rail,0.0,0.0
Roads,0.0,0.0
Utilities,0.0,0.0
Industrial (lower risk),-0.25,0.25
Industrial: Other,-0.25,0.25
Manufacturing Facilities,-0.25,0.25
Nuclear Facilities,-0.25,0.25
Environmental (lower risk),-0.25,-0.25
Asbestos Abatement,-0.25,-0.25
Environmental: Other,-0.25,-0.25
Waste Brokering,-0.25,-0.25
