region,country
Asia Pac (Developed) & South Africa,China
Asia Pac (Developed) & South Africa,Hong Kong
Asia Pac (Developed) & South Africa,Japan
Asia Pac (Developed) & South Africa,New Zealand
Asia Pac (Developed) & South Africa,Singapore
Asia Pac (Developed) & South Africa,South Africa
Europe (high risk),Austria
Europe (high risk),Belgium
Europe (high risk),Denmark
Europe (high risk),Finland
Europe (high risk),France
Europe (high risk),Germany
Europe (high risk),Iceland
Europe (high risk),Italy
Europe (high risk),Netherlands
Europe (high risk),Norway
Europe (high risk),Portugal
Europe (high risk),Spain
Europe (high risk),Sweden
Middle East (high risk),Bahrain
Middle East (high risk),Israel
Middle East (high risk),Jordan
Middle East (high risk),Kuwait
Middle East (high risk),Oman
Middle East (high risk),Qatar
Middle East (high risk),Saudi Arabia
Middle East (high risk),United Arab Emirates
Tax Haven,Bahamas
Tax Haven,Bermuda
Tax Haven,British Virgin Islands
Tax Haven,Cayman Islands
Tax Haven,Curacao
Tax Haven,Guernsey
Tax Haven,Isle of Man
Tax Haven,Jersey
Tax Haven,Liechtenstein
Tax Haven,Luxembourg
Tax Haven,Malta
Tax Haven,Marshall Islands
Tax Haven,Mauritius
Tax Haven,Monaco
Tax Haven,Seychelles
Tax Haven,Switzerland
Rest of World,Afghanistan
Rest of World,Albania
Rest of World,Algeria
Rest of World,Andorra
Rest of World,Angola
Rest of World,Antigua & Barbuda
Rest of World,Argentina
Rest of World,Armenia
Rest of World,Azerbaijan
Rest of World,Bangladesh
Rest of World,Barbados
Rest of World,Belarus
Rest of World,Belize
Rest of World,Benin
Rest of World,Bhutan
Rest of World,Bolivia
Rest of World,Bosnia and Herzegovina
Rest of World,Botswana
Rest of World,Brazil
Rest of World,Brunei
Rest of World,Bulgaria
Rest of World,Burkina Faso
Rest of World,Burundi
Rest of World,Cabo Verde
Rest of World,Cambodia
Rest of World,Cameroon
Rest of World,Canada
Rest of World,Central African Republic
Rest of World,Chad
Rest of World,Chile
Rest of World,Colombia
Rest of World,Comoros
Rest of World,Congo
Rest of World,Costa Rica
Rest of World,Côte d'Ivoire
Rest of World,Croatia
Rest of World,Cuba
Rest of World,Cyprus
Rest of World,Czech Republic
Rest of World,Democratic Republic of the Congo
Rest of World,Djibouti
Rest of World,Dominica
Rest of World,Dominican Republic
Rest of World,Ecuador
Rest of World,Egypt
Rest of World,El Salvador
Rest of World,Equatorial Guinea
Rest of World,Eritrea
Rest of World,Estonia
Rest of World,Ethiopia
Rest of World,Fiji
Rest of World,Gabon
Rest of World,Gambia
Rest of World,Georgia
Rest of World,Ghana
Rest of World,Greece
Rest of World,Grenada
Rest of World,Guatemala
Rest of World,Guinea
Rest of World,Guinea-Bissau
Rest of World,Guyana
Rest of World,Haiti
Rest of World,Honduras
Rest of World,Hungary
Rest of World,India
Rest of World,Indonesia
Rest of World,Iran
Rest of World,Iraq
Rest of World,Jamaica
Rest of World,Kazakhstan
Rest of World,Kenya
Rest of World,Kiribati
Rest of World,Kosovo
Rest of World,Kyrgyzstan
Rest of World,Laos
Rest of World,Latvia
Rest of World,Lebanon
Rest of World,Lesotho
Rest of World,Liberia
Rest of World,Libya
Rest of World,Lithuania
Rest of World,Macedonia
Rest of World,Madagascar
Rest of World,Malawi
Rest of World,Malaysia
Rest of World,Maldives
Rest of World,Mali
Rest of World,Mauritania
Rest of World,Mauritius
Rest of World,Mexico
Rest of World,Micronesia
Rest of World,Moldova
Rest of World,Mongolia
Rest of World,Montenegro
Rest of World,Morocco
Rest of World,Mozambique
Rest of World,Myanmar
Rest of World,Namibia
Rest of World,Nauru
Rest of World,Nepal
Rest of World,Nicaragua
Rest of World,Niger
Rest of World,Nigeria
Rest of World,North Macedonia
Rest of World,Other
Rest of World,Pakistan
Rest of World,Palau
Rest of World,Palestine
Rest of World,Palestine State
Rest of World,Panama
Rest of World,Papua New Guinea
Rest of World,Paraguay
Rest of World,Peru
Rest of World,Philippines
Rest of World,Poland
Rest of World,Romania
Rest of World,Rwanda
Rest of World,Samoa
Rest of World,San Marino
Rest of World,Sao Tome and Principe
Rest of World,Senegal
Rest of World,Serbia
Rest of World,Sierra Leone
Rest of World,Slovakia
Rest of World,Slovenia
Rest of World,Solomon Islands
Rest of World,Somalia
Rest of World,South Korea
Rest of World,South Sudan
Rest of World,Sri Lanka
Rest of World,St Kitts and Nevis
Rest of World,St Lucia
Rest of World,St Vincent and the Grenadines
Rest of World,Sudan
Rest of World,Suriname
Rest of World,Swaziland
Rest of World,Syria
Rest of World,Tajikistan
Rest of World,Tanzania
Rest of World,Thailand
Rest of World,Timor-Leste
Rest of World,Togo
Rest of World,Tonga
Rest of World,Trinidad and Tobago
Rest of World,Tunisia
Rest of World,Turkey
Rest of World,Turkmenistan
Rest of World,Tuvalu
Rest of World,Uganda
Rest of World,Ukraine
Rest of World,Uruguay
Rest of World,Uzbekistan
Rest of World,Vanuatu
Rest of World,Venezuela
Rest of World,Vietnam
Rest of World,Yemen
Rest of World,Zambia
Rest of World,Zimbabwe
United States,United States
