Component,London Professions
Target LR,0.6
CHE,0.0253110157350496
Fixed Expense,11189.9911988123
Variable Expense,0.163996631716595
Investment Income,0.127579753677739
RI Cost,0.0241051492539547
ROC,0.15
Capital Cost,1.32629829718141
