Name,Mode,CDS level,Coverage,Relative path,Rater Defined?,Type,Default,Label hx
insured_name,Input,cds/standard_fields,,/insured_name,N,str,,
facility_reference,Input,cds/standard_fields,,/facility_reference,N,str,,
code,Input,cds/currencies,,/rates/code,N,str,,
deductions,Input,cds,,/policy_info/deductions,Y,float,,Deductions
term,Input,cds,,/policy_info/term,Y,float,,Term (Years)
beazley_share,Input,cds,,/policy_info/beazley_share,Y,float,,Beazley Share (%)
transit_flag,Input,cds/layers/coverages,cargo_transit,/cargo_transit/transit_flag,Y,bool,FALSE,Transit
wh_to_port_flag,Input,cds/layers/coverages,cargo_transit,/cargo_transit/wh_to_port_flag,Y,bool,FALSE,Initial Warehouse to Port
loading_flag,Input,cds/layers/coverages,cargo_transit,/cargo_transit/loading_flag,Y,bool,FALSE,Loading
voyage_flag,Input,cds/layers/coverages,cargo_transit,/cargo_transit/voyage_flag,Y,bool,FALSE,Voyage
unloading_flag,Input,cds/layers/coverages,cargo_transit,/cargo_transit/unloading_flag,Y,bool,FALSE,Unloading
port_to_wh_flag,Input,cds/layers/coverages,cargo_transit,/cargo_transit/port_to_wh_flag,Y,bool,FALSE,Port to Final Warehouse
base_rate,Output,cds/layers/coverages,cargo_transit,/cargo_transit/base_rate,Y,float,,Base Rate
commodity,Input,cds/layers/coverages,cargo_transit,/cargo_transit/commodity,Y,str,,Commodity
commodity_factor,Output,cds/layers/coverages,cargo_transit,/cargo_transit/commodity_factor,Y,float,,Factor
trans_vals,Input,cds/layers/coverages,cargo_transit,/cargo_transit/trans_vals,Y,float,,Est Ann Transit Vals
trans_vals_factor,Output,cds/layers/coverages,cargo_transit,/cargo_transit/trans_vals_factor,Y,float,, 
deductible_level,Input,cds/layers/coverages,cargo_transit,/cargo_transit/deductible_level,Y,str,,Deductible Level
deductible_factor,Override,cds/layers/coverages,cargo_transit,/cargo_transit/deductible_factor,Y,float,, 
excess,Input,cds/layers/coverages,cargo_transit,/cargo_transit/excess,N,float,,Excess
excess_factor,Output,cds/layers/coverages,cargo_transit,/cargo_transit/excess_factor,Y,float,, 
packaging,Input,cds/layers/coverages,cargo_transit,/cargo_transit/packaging,Y,str,,Packaging
packaging_factor,Output,cds/layers/coverages,cargo_transit,/cargo_transit/packaging_factor,Y,float,, 
conv_air,Input,cds/layers/coverages,cargo_transit,/cargo_transit/conv_air,Y,str,Air,Conveyance
conv_land,Input,cds/layers/coverages,cargo_transit,/cargo_transit/conv_land,Y,str,Land, 
conv_sea,Input,cds/layers/coverages,cargo_transit,/cargo_transit/conv_sea,Y,str,Sea, 
conv_air_factor,Input,cds/layers/coverages,cargo_transit,/cargo_transit/conv_air_factor,Y,float,, 
conv_land_factor,Input,cds/layers/coverages,cargo_transit,/cargo_transit/conv_land_factor,Y,float,, 
conv_sea_factor,Input,cds/layers/coverages,cargo_transit,/cargo_transit/conv_sea_factor,Y,float,, 
conv_check,Output,cds/layers/coverages,cargo_transit,/cargo_transit/conv_check,Y,float,,Check
voyage,Input,cds/layers/coverages,cargo_transit,/cargo_transit/voyage,Y,str,,Voyage
voyage_factor,Output,cds/layers/coverages,cargo_transit,/cargo_transit/voyage_factor,Y,float,, 
surveyor,Input,cds/layers/coverages,cargo_transit,/cargo_transit/surveyor,Y,str,,Surveyor Present
surveyor_factor,Output,cds/layers/coverages,cargo_transit,/cargo_transit/surveyor_factor,Y,float,, 
vessel,Input,cds/layers/coverages,cargo_transit,/cargo_transit/vessel,Y,str,,Vessel
vessel_factor,Output,cds/layers/coverages,cargo_transit,/cargo_transit/vessel_factor,Y,float,, 
uw_discretion,Input,cds/layers/coverages,cargo_transit,/cargo_transit/uw_discretion,Y,str,,UW Discretion
uw_discretion_weight,Input,cds/layers/coverages,cargo_transit,/cargo_transit/uw_discretion_weight,Y,float,1, 
type_of_cover,Input,cds/layers/coverages,cargo_transit,/cargo_transit/type_of_cover,Y,str,,Type of Cover
type_of_cover_factor,Output,cds/layers/coverages,cargo_transit,/cargo_transit/type_of_cover_factor,Y,float,, 
technical_deductions,Output,cds/layers/coverages,cargo_transit,/cargo_transit/technical_deductions,Y,float,,Technical Annual Transit Rate Base Deductions
technical_rate,Output,cds/layers/coverages,cargo_transit,/cargo_transit/technical_rate,Y,float,,Technical Annual Transit Rate
technical_premium,Output,cds/layers/coverages,cargo_transit,/cargo_transit/technical_premium,N,float,,Technical Transit Premium (Term)
actual_rate,Input,cds/layers/coverages,cargo_transit,/cargo_transit/actual_rate,Y,float,,Actual Transit Rate (Annual)
quoted_premium,Input,cds/layers/coverages,cargo_transit,/cargo_transit/quoted_premium,N,float,,Actual Transit Premium (Term)
pct_of_technical,Output,cds/layers/coverages,cargo_transit,/cargo_transit/pct_of_technical,Y,float,,Percentage of Technical
storage_flag,Input,cds/layers/coverages,cargo_storage,/cargo_storage/storage_flag,Y,bool,FALSE,Storage
base_rate,Output,cds/layers/coverages,cargo_storage,/cargo_storage/base_rate,Y,float,,Base Rate
stock_vals,Input,cds/layers/coverages,cargo_storage,/cargo_storage/stock_vals,Y,float,,Expo'd Stock Vals
deductible_level,Input,cds/layers/coverages,cargo_storage,/cargo_storage/deductible_level,Y,str,,Deductible Level
deductible_factor,Override,cds/layers/coverages,cargo_storage,/cargo_storage/deductible_factor,Y,float,,Factor
excess,Input,cds/layers/coverages,cargo_storage,/cargo_storage/excess,N,float,,Excess
excess_factor,Override,cds/layers/coverages,cargo_storage,/cargo_storage/excess_factor,Y,float,, 
survey,Input,cds/layers/coverages,cargo_storage,/cargo_storage/survey,Y,bool,FALSE,Satis. Survey Report
survey_factor,Output,cds/layers/coverages,cargo_storage,/cargo_storage/survey_factor,Y,float,, 
risk_mgmt,Input,cds/layers/coverages,cargo_storage,/cargo_storage/risk_mgmt,Y,str,,Risk Management
risk_mgmt_weight,Input,cds/layers/coverages,cargo_storage,/cargo_storage/risk_mgmt_weight,Y,float,1, 
type_of_cover,Input,cds/layers/coverages,cargo_storage,/cargo_storage/type_of_cover,Y,str,,Type of Cover
type_of_cover_factor,Output,cds/layers/coverages,cargo_storage,/cargo_storage/type_of_cover_factor,Y,float,, 
uw_discretion,Input,cds/layers/coverages,cargo_storage,/cargo_storage/uw_discretion,Y,str,,UW Discretion
uw_discretion_weight,Input,cds/layers/coverages,cargo_storage,/cargo_storage/uw_discretion_weight,Y,float,1, 
rate,Output,cds/layers/coverages,cargo_storage,/cargo_storage/rate,Y,float,,Storage Rate
avg_val_pcm,Input,cds/layers/coverages,cargo_storage,/cargo_storage/avg_val_pcm,Y,float,,Avg Val Expo'd PCM
cat_expo,Input,cds/layers/coverages,cargo_storage,/cargo_storage/cat_expo,Y,float,,Cat Expo
cat_pct_of_total,Output,cds/layers/coverages,cargo_storage,/cargo_storage/cat_pct_of_total,Y,float,,% of Total
combined_cat_load,Output,cds/layers/coverages,cargo_storage,/cargo_storage/combined_cat_load,Y,float,,Combined Cat Load
cat_expo_tp,Override,cds/layers/coverages,cargo_storage,/cargo_storage/cat_expo_tp,Y,float,,Technical Premium
country,Input,cds/layers/coverages,cargo_storage,/cargo_storage/country,Y,str,,Country
country_cat_expo,Input,cds/layers/coverages,cargo_storage,/cargo_storage/country_cat_expo,Y,float,,Cat Exposure Amount
country_cat_load,Output,cds/layers/coverages,cargo_storage,/cargo_storage/country_cat_load,Y,float,,Load Applied
retail_expo,Input,cds/layers/coverages,cargo_storage,/cargo_storage/retail_expo,Y,float,,Retail Expo
retail_pct_of_total,Output,cds/layers/coverages,cargo_storage,/cargo_storage/retail_pct_of_total,Y,float,,% of Total
retail_load,Input,cds/layers/coverages,cargo_storage,/cargo_storage/retail_load,Y,float,1.5,Retail Load
retail_expo_tp,Output,cds/layers/coverages,cargo_storage,/cargo_storage/retail_expo_tp,Y,float,,Technical Premium
all_else_expo,Override,cds/layers/coverages,cargo_storage,/cargo_storage/all_else_expo,Y,float,,Everything Else
all_else_pct_of_total,Output,cds/layers/coverages,cargo_storage,/cargo_storage/all_else_pct_of_total,Y,float,,% of Total
